"Symbol","Exchange","Qty","BuyAvg","SellAvg","LTP","PnL","Product","Status","Side","FetchedAt"
"NIFTY2660923450PE","NFO","130","225.55","0","216.05","-1235","NRML","OPEN","LONG","2026-06-04 09:22:54"
"NIFTY2660923350PE","NFO","0","0","162.7","172.45","-4023.5","NRML","CLOSED","FLAT","2026-06-04 09:22:54"
